 62,52.0
 57,64.0
 62,70.0
 66,65.0
 69,70.0
 62,50.0
 57,62.0
 62,71.0
 66,65.0
 69,73.0
 67,62.0
 64,59.0
 66,64.0
 62,54.0
 64,55.0
 61,57.0
 61,61.0
 62,64.0
 64,64.0
 62,64.0
 64,64.0
 64,72.0
 62,57.0
 57,59.0
 62,64.0
 66,68.0
 69,75.0
 62,52.0
 57,59.0
 62,68.0
 66,70.0
 69,79.0
 67,59.0
 64,51.0
 66,52.0
 62,54.0
 64,55.0
 59,52.0
 64,53.0
 61,58.0
 62,64.0
 57,57.0
 64,74.0
 66,79.0
 67,61.0
 66,61.0
 67,61.0
 67,63.0
 64,57.0
 69,67.0
 76,74.0
 78,77.0
 79,65.0
 74,48.0
 69,48.0
 74,57.0
 78,51.0
 81,56.0
 74,47.0
 69,51.0
 74,57.0
 78,56.0
 81,65.0
 79,52.0
 76,46.0
 78,51.0
 74,45.0
 76,45.0
 73,51.0
 73,50.0
 74,53.0
 76,53.0
 74,53.0
 76,53.0
 76,55.0
 74,46.0
 69,50.0
 74,56.0
 78,56.0
 81,61.0
 74,44.0
 69,49.0
 74,59.0
 78,55.0
 81,63.0
 79,46.0
 76,45.0
 78,44.0
 74,47.0
 76,44.0
 71,45.0
 76,50.0
 73,45.0
 74,54.0
 57,54.0
 64,70.0
 66,74.0
 67,64.0
 64,55.0
 64,52.0
 66,63.0
 67,66.0
 74,98.0
 69,102.0
 74,127.0
 78,127.0
 81,127.0
 74,91.0
 69,106.0
 74,127.0
 78,127.0
 81,127.0
 79,105.0
 76,103.0
 78,108.0
 74,99.0
 76,106.0
 71,100.0
 76,110.0
 73,104.0
 74,119.0
 64,100.0
 66,120.0
 71,127.0
 67,99.0
 69,119.0
 74,127.0
 71,103.0
 69,102.0
 74,115.0
 71,107.0
 69,100.0
 74,119.0
 71,109.0
 69,112.0
 79,127.0
 78,117.0
 76,107.0
 74,104.0
 73,107.0
 71,105.0
 69,105.0
 69,111.0
 81,127.0
 79,115.0
 78,106.0
 76,106.0
 74,103.0
 73,106.0
 71,103.0
 69,108.0
 69,113.0
 81,127.0
 83,125.0
 81,109.0
 79,104.0
 78,106.0
 76,102.0
 74,109.0
 73,107.0
 71,105.0
 69,107.0
 67,107.0
 64,104.0
 62,119.0
 69,127.0
 71,121.0
 73,127.0
 74,122.0
 69,100.0
 71,122.0
 73,124.0
 74,117.0
 62,112.0
 74,112.0
 62,105.0
 74,105.0
 62,104.0
 74,104.0
 62,101.0
 74,101.0
